date,exercise_name,order,weight,rep
10/1/2020 5:37,Sumo Deadlift (Barbell),6,286.6009408,3
10/1/2020 5:37,Sumo Deadlift (Barbell),7,286.6009408,3
10/1/2020 5:37,Sumo Deadlift (Barbell),8,286.6009408,3
10/1/2020 5:37,Chin Up,1,0,10
10/1/2020 5:37,Chin Up,2,0,10
10/1/2020 5:37,Chin Up,3,0,9
10/1/2020 5:37,Leg Extension (Machine),1,231.4853753,12
10/1/2020 5:37,Leg Extension (Machine),2,231.4853753,12
10/1/2020 5:37,Leg Extension (Machine),3,231.4853753,12
10/1/2020 5:37,Lying Leg Curl (Machine),1,104.7195745,12
10/1/2020 5:37,Lying Leg Curl (Machine),2,104.7195745,12
10/1/2020 5:37,Lying Leg Curl (Machine),3,104.7195745,12
10/1/2020 5:37,Bent Over One Arm Row (Dumbbell),1,66.13867866,15
10/1/2020 5:37,Bent Over One Arm Row (Dumbbell),2,66.13867866,15
10/1/2020 5:37,Lat Pulldown (Single Arm),1,63.38290038,12
10/1/2020 5:37,Lat Pulldown (Single Arm),2,63.38290038,12
10/1/2020 5:37,Lat Pulldown (Single Arm),3,63.38290038,12
10/2/2020 2:59,Bench Press (Barbell),1,44.09245244,5
10/2/2020 2:59,Bench Press (Barbell),2,110.2311311,5
10/2/2020 2:59,Bench Press (Barbell),3,176.3698097,3
10/2/2020 2:59,Bench Press (Barbell),4,214.9507056,5
10/2/2020 2:59,Bench Press (Barbell),5,214.9507056,5
10/2/2020 2:59,Bench Press (Barbell),6,214.9507056,4
10/2/2020 2:59,Bench Press (Barbell),7,214.9507056,4
10/2/2020 2:59,Chest Fly,1,30.31356105,12
10/2/2020 2:59,Chest Fly,2,30.31356105,12
10/2/2020 2:59,Chest Fly,3,30.31356105,12
10/2/2020 2:59,Seated Overhead Press (Dumbbell),1,48.50169768,12
10/2/2020 2:59,Seated Overhead Press (Dumbbell),2,48.50169768,12
10/2/2020 2:59,Seated Overhead Press (Dumbbell),3,48.50169768,11
10/2/2020 2:59,Lateral Raise (Dumbbell),1,27.55778277,15
10/2/2020 2:59,Lateral Raise (Dumbbell),2,27.55778277,15
10/2/2020 2:59,Lateral Raise (Dumbbell),3,27.55778277,15
10/2/2020 2:59,Lateral Raise (Dumbbell),4,16.53466966,12
10/2/2020 2:59,Chest Press (Machine),1,176.3698097,10
10/2/2020 2:59,Chest Press (Machine),2,176.3698097,10
10/2/2020 2:59,Triceps Pushdown (Cable - Straight Bar),1,35.82511761,15
10/2/2020 2:59,Triceps Pushdown (Cable - Straight Bar),2,35.82511761,14
10/3/2020 5:36,Chin Up,1,0,10
10/3/2020 5:36,Chin Up,2,0,10
10/3/2020 5:36,Chin Up,3,0,9
10/3/2020 5:36,Chin Up,4,0,7
10/3/2020 5:36,Bent Over Row (Barbell),1,154.3235835,12
10/3/2020 5:36,Bent Over Row (Barbell),2,154.3235835,12
10/3/2020 5:36,Bent Over Row (Barbell),3,154.3235835,12
10/3/2020 5:36,Lat Pulldown (Single Arm),1,68.89445693,10
10/3/2020 5:36,Lat Pulldown (Single Arm),2,68.89445693,10
10/3/2020 5:36,Lat Pulldown (Single Arm),3,68.89445693,10
10/3/2020 5:36,Bent Over One Arm Row (Dumbbell),1,66.13867866,15
10/3/2020 5:36,Bent Over One Arm Row (Dumbbell),2,66.13867866,15
10/3/2020 5:36,Bent Over One Arm Row (Dumbbell),3,66.13867866,14
10/3/2020 5:36,Bicep Curl (Dumbbell),1,27.55778277,12
10/3/2020 5:36,Bicep Curl (Dumbbell),2,27.55778277,10
10/3/2020 5:36,Bicep Curl (Dumbbell),3,27.55778277,8
10/5/2020 8:14,Bench Press (Barbell),1,44.09245244,5
10/5/2020 8:14,Bench Press (Barbell),2,66.13867866,5
10/5/2020 8:14,Bench Press (Barbell),3,110.2311311,5
10/5/2020 8:14,Bench Press (Barbell),4,143.3004704,3
10/5/2020 8:14,Bench Press (Barbell),5,165.3466966,10
10/5/2020 8:14,Bench Press (Barbell),6,165.3466966,10
10/5/2020 8:14,Bench Press (Barbell),7,165.3466966,10
10/5/2020 8:14,Chest Fly,1,30.31356105,10
10/5/2020 8:14,Chest Fly,2,30.31356105,10
10/5/2020 8:14,Overhead Press (Barbell),1,99.20801798,6
10/5/2020 8:14,Overhead Press (Barbell),2,99.20801798,6
10/5/2020 8:14,Overhead Press (Barbell),3,99.20801798,6
10/5/2020 8:14,Lateral Raise (Dumbbell),1,22.04622622,15
10/5/2020 8:14,Lateral Raise (Dumbbell),2,22.04622622,15
10/5/2020 8:14,Leg Extension (Machine),1,209.4391491,12
10/5/2020 8:14,Leg Extension (Machine),2,209.4391491,12
10/5/2020 8:14,Lying Leg Curl (Machine),1,99.20801798,12
10/5/2020 8:14,Lying Leg Curl (Machine),2,99.20801798,12
10/5/2020 8:14,Chest Press (Machine),1,165.3466966,10
10/5/2020 8:14,Chest Press (Machine),2,165.3466966,10
10/7/2020 4:39,Bench Press (Barbell),1,44.09245244,5
10/7/2020 4:39,Bench Press (Barbell),2,110.2311311,5
10/7/2020 4:39,Bench Press (Barbell),3,154.3235835,3
10/7/2020 4:39,Bench Press (Barbell),4,187.3929229,5
10/7/2020 4:39,Bench Press (Barbell),5,187.3929229,5
10/7/2020 4:39,Bench Press (Barbell),6,187.3929229,5
10/7/2020 4:39,Chest Fly,1,119.0496216,12
10/7/2020 4:39,Chest Fly,2,119.0496216,12
10/7/2020 4:39,Seated Overhead Press (Dumbbell),1,44.09245244,12
10/7/2020 4:39,Seated Overhead Press (Dumbbell),2,44.09245244,12
10/7/2020 4:39,Lateral Raise (Dumbbell),1,22.04622622,15
10/7/2020 4:39,Lateral Raise (Dumbbell),2,27.55778277,15
10/7/2020 4:39,Chest Press (Machine),1,176.3698097,10
10/7/2020 4:39,Chest Press (Machine),2,176.3698097,10
10/7/2020 4:39,Triceps Extension (Dumbbell),1,66.13867866,12
10/7/2020 4:39,Triceps Extension (Dumbbell),2,66.13867866,12
10/9/2020 6:01,Bench Press (Barbell),1,44.09245244,5
10/9/2020 6:01,Bench Press (Barbell),2,110.2311311,5
10/9/2020 6:01,Bench Press (Barbell),3,176.3698097,3
10/9/2020 6:01,Bench Press (Barbell),4,187.3929229,5
10/9/2020 6:01,Bench Press (Barbell),5,187.3929229,5
10/9/2020 6:01,Bench Press (Barbell),6,187.3929229,5
10/9/2020 6:01,Chest Fly,1,119.0496216,12
10/9/2020 6:01,Chest Fly,2,119.0496216,12
10/9/2020 6:01,Seated Overhead Press (Dumbbell),1,44.09245244,12
10/9/2020 6:01,Seated Overhead Press (Dumbbell),2,44.09245244,12
10/9/2020 6:01,Lateral Raise (Dumbbell),1,22.04622622,15
10/9/2020 6:01,Lateral Raise (Dumbbell),2,22.04622622,15
10/9/2020 6:01,Chest Press (Machine),1,176.3698097,10
10/9/2020 6:01,Chest Press (Machine),2,176.3698097,10
10/10/2020 5:02,Chin Up,1,22.04622622,5
10/10/2020 5:02,Chin Up,2,22.04622622,5
10/10/2020 5:02,Chin Up,3,22.04622622,5
10/10/2020 5:02,Bent Over Row (Barbell),1,132.2773573,12
10/10/2020 5:02,Bent Over Row (Barbell),2,132.2773573,12
10/10/2020 5:02,Lat Pulldown (Single Arm),1,99.20801798,12
10/10/2020 5:02,Lat Pulldown (Single Arm),2,99.20801798,12
10/10/2020 5:02,Seated Row (Cable),1,200.6206586,12
10/10/2020 5:02,Seated Row (Cable),2,200.6206586,12
10/10/2020 5:02,Bicep Curl (Dumbbell),1,22.04622622,12
10/10/2020 5:02,Bicep Curl (Dumbbell),2,22.04622622,12
10/10/2020 5:02,Reverse Fly (Machine),1,99.20801798,15
10/12/2020 5:03,Bench Press (Barbell),1,44.09245244,5
10/12/2020 5:03,Bench Press (Barbell),2,66.13867866,5
10/12/2020 5:03,Bench Press (Barbell),3,110.2311311,5
10/12/2020 5:03,Bench Press (Barbell),4,143.3004704,3
10/12/2020 5:03,Bench Press (Barbell),5,181.8813663,10
10/12/2020 5:03,Bench Press (Barbell),6,181.8813663,10
10/12/2020 5:03,Bench Press (Barbell),7,181.8813663,9
10/12/2020 5:03,Bench Press (Barbell),8,181.8813663,8
10/12/2020 5:03,Chest Fly,1,141.0958478,12
10/12/2020 5:03,Chest Fly,2,141.0958478,12
10/12/2020 5:03,Chest Fly,3,141.0958478,11
10/12/2020 5:03,Overhead Press (Barbell),1,115.7426876,6
10/12/2020 5:03,Overhead Press (Barbell),2,115.7426876,6
10/12/2020 5:03,Overhead Press (Barbell),3,115.7426876,6
10/12/2020 5:03,Overhead Press (Barbell),4,115.7426876,5
10/12/2020 5:03,Lateral Raise (Dumbbell),1,26.45547146,15
10/12/2020 5:03,Lateral Raise (Dumbbell),2,26.45547146,15
10/12/2020 5:03,Lateral Raise (Dumbbell),3,26.45547146,15
10/12/2020 5:03,Lateral Raise (Dumbbell),4,17.63698097,10
10/12/2020 5:03,Leg Extension (Machine),1,229.2807527,12
10/12/2020 5:03,Leg Extension (Machine),2,229.2807527,12
10/12/2020 5:03,Leg Extension (Machine),3,229.2807527,11
10/12/2020 5:03,Lying Leg Curl (Machine),1,83.77565963,12
10/12/2020 5:03,Lying Leg Curl (Machine),2,83.77565963,12
10/12/2020 5:03,Lying Leg Curl (Machine),3,83.77565963,11
10/12/2020 5:03,Chest Press (Machine),1,203.9275925,10
10/12/2020 5:03,Chest Press (Machine),2,203.9275925,9
10/13/2020 1:10,Bent Over Row (Barbell),1,44.09245244,5
10/13/2020 1:10,Bent Over Row (Barbell),2,66.13867866,5
10/13/2020 1:10,Bent Over Row (Barbell),3,110.2311311,5
10/13/2020 1:10,Bent Over Row (Barbell),4,143.3004704,3
10/13/2020 1:10,Bent Over Row (Barbell),5,187.3929229,8
10/13/2020 1:10,Bent Over Row (Barbell),6,187.3929229,8
10/13/2020 1:10,Bent Over Row (Barbell),7,176.3698097,8
10/13/2020 1:10,Chin Up,1,0,10
10/13/2020 1:10,Chin Up,2,0,10
10/13/2020 1:10,Chin Up,3,0,8
10/13/2020 1:10,Seated Row (Cable),1,220.4622622,12
10/13/2020 1:10,Seated Row (Cable),2,220.4622622,12
10/13/2020 1:10,Seated Row (Cable),3,220.4622622,11
10/13/2020 1:10,Lat Pulldown (Machine),1,198.416036,12
10/13/2020 1:10,Lat Pulldown (Machine),2,198.416036,10
10/13/2020 1:10,Lat Pulldown (Machine),3,198.416036,10
10/13/2020 1:10,Reverse Fly (Machine),1,110.2311311,15
10/13/2020 1:10,Reverse Fly (Machine),2,110.2311311,15
10/13/2020 1:10,Bicep Curl (Barbell),1,55.11556555,12
10/13/2020 1:10,Bicep Curl (Barbell),2,55.11556555,12
10/14/2020 4:49,Bench Press (Barbell),1,44.09245244,5
10/14/2020 4:49,Bench Press (Barbell),2,110.2311311,5
10/14/2020 4:49,Bench Press (Barbell),3,176.3698097,3
10/14/2020 4:49,Bench Press (Barbell),4,214.9507056,5
10/14/2020 4:49,Bench Press (Barbell),5,214.9507056,4
10/14/2020 4:49,Bench Press (Barbell),6,214.9507056,4
10/14/2020 4:49,Bench Press (Barbell),7,214.9507056,4
10/14/2020 4:49,Chest Fly,1,141.0958478,12
10/14/2020 4:49,Chest Fly,2,141.0958478,12
10/14/2020 4:49,Chest Fly,3,141.0958478,11
10/14/2020 4:49,Seated Overhead Press (Dumbbell),1,48.50169768,12
10/14/2020 4:49,Seated Overhead Press (Dumbbell),2,48.50169768,12
10/14/2020 4:49,Seated Overhead Press (Dumbbell),3,48.50169768,10
10/14/2020 4:49,Lateral Raise (Dumbbell),1,26.45547146,15
10/14/2020 4:49,Lateral Raise (Dumbbell),2,26.45547146,15
10/14/2020 4:49,Lateral Raise (Dumbbell),3,26.45547146,15
10/14/2020 4:49,Chest Press (Machine),1,203.9275925,10
10/14/2020 4:49,Chest Press (Machine),2,203.9275925,10
10/14/2020 4:49,Triceps Extension (Dumbbell),1,66.13867866,15
10/14/2020 4:49,Triceps Extension (Dumbbell),2,66.13867866,13
10/15/2020 6:09,Sumo Deadlift (Barbell),1,44.09245244,5
10/15/2020 6:09,Sumo Deadlift (Barbell),2,110.2311311,5
10/15/2020 6:09,Sumo Deadlift (Barbell),3,176.3698097,5
10/15/2020 6:09,Sumo Deadlift (Barbell),4,242.5084884,3
10/15/2020 6:09,Sumo Deadlift (Barbell),5,286.6009408,5
10/15/2020 6:09,Sumo Deadlift (Barbell),6,286.6009408,5
10/15/2020 6:09,Sumo Deadlift (Barbell),7,286.6009408,4
10/15/2020 6:09,Sumo Deadlift (Barbell),8,286.6009408,4
10/15/2020 6:09,Chin Up,1,0,10
10/15/2020 6:09,Chin Up,2,0,10
10/15/2020 6:09,Chin Up,3,0,8
10/15/2020 6:09,Seated Row (Cable),1,220.4622622,12
10/15/2020 6:09,Seated Row (Cable),2,220.4622622,11
10/15/2020 6:09,Seated Row (Cable),3,220.4622622,11
10/15/2020 6:09,Leg Extension (Machine),1,229.2807527,12
10/15/2020 6:09,Leg Extension (Machine),2,229.2807527,12
10/15/2020 6:09,Leg Extension (Machine),3,229.2807527,12
10/15/2020 6:09,Lying Leg Curl (Machine),1,83.77565963,12
10/15/2020 6:09,Lying Leg Curl (Machine),2,83.77565963,12
10/15/2020 6:09,Lying Leg Curl (Machine),3,83.77565963,12
10/16/2020 6:06,Bench Press (Barbell),1,44.09245244,5
10/16/2020 6:06,Bench Press (Barbell),2,110.2311311,5
10/16/2020 6:06,Bench Press (Barbell),3,176.3698097,3
10/16/2020 6:06,Bench Press (Barbell),4,214.9507056,5
10/16/2020 6:06,Bench Press (Barbell),5,214.9507056,4
10/16/2020 6:06,Bench Press (Barbell),6,214.9507056,4
10/16/2020 6:06,Bench Press (Barbell),7,214.9507056,4
10/16/2020 6:06,Chest Fly,1,141.0958478,12
10/16/2020 6:06,Chest Fly,2,141.0958478,12
10/16/2020 6:06,Chest Fly,3,141.0958478,11
10/16/2020 6:06,Seated Overhead Press (Dumbbell),1,48.50169768,12
10/16/2020 6:06,Seated Overhead Press (Dumbbell),2,48.50169768,11
10/16/2020 6:06,Seated Overhead Press (Dumbbell),3,48.50169768,10
10/16/2020 6:06,Lateral Raise (Dumbbell),1,26.45547146,15
10/16/2020 6:06,Lateral Raise (Dumbbell),2,26.45547146,15
10/16/2020 6:06,Lateral Raise (Dumbbell),3,26.45547146,15
10/16/2020 6:06,Chest Press (Machine),1,209.4391491,9
10/16/2020 6:06,Chest Press (Machine),2,209.4391491,9
10/17/2020 7:04,Chin Up,1,44.09245244,5
10/17/2020 7:04,Chin Up,2,44.09245244,5
10/17/2020 7:04,Chin Up,3,44.09245244,4
10/17/2020 7:04,Chin Up,4,44.09245244,4
10/17/2020 7:04,Bent Over One Arm Row (Dumbbell),1,74.95716914,12
10/17/2020 7:04,Bent Over One Arm Row (Dumbbell),2,74.95716914,12
10/17/2020 7:04,Bent Over One Arm Row (Dumbbell),3,74.95716914,12
10/17/2020 7:04,Lat Pulldown (Single Arm),1,110.2311311,12
10/17/2020 7:04,Lat Pulldown (Single Arm),2,110.2311311,10
10/17/2020 7:04,Lat Pulldown (Single Arm),3,110.2311311,10
10/17/2020 7:04,Seated Row (Cable),1,220.4622622,12
10/17/2020 7:04,Seated Row (Cable),2,220.4622622,12
10/17/2020 7:04,Seated Row (Cable),3,220.4622622,11
10/17/2020 7:04,Bicep Curl (Dumbbell),1,26.45547146,12
10/17/2020 7:04,Bicep Curl (Dumbbell),2,26.45547146,12
10/17/2020 7:04,Bicep Curl (Dumbbell),3,26.45547146,9
10/17/2020 7:04,Reverse Fly (Machine),1,110.2311311,15
10/19/2020 6:39,Bench Press (Barbell),1,44.09245244,2
10/19/2020 6:39,Bench Press (Barbell),2,66.13867866,5
10/19/2020 6:39,Bench Press (Barbell),3,110.2311311,5
10/19/2020 6:39,Bench Press (Barbell),4,143.3004704,3
10/19/2020 6:39,Bench Press (Barbell),5,181.8813663,10
10/19/2020 6:39,Bench Press (Barbell),6,181.8813663,10
10/19/2020 6:39,Bench Press (Barbell),7,181.8813663,9
10/19/2020 6:39,Bench Press (Barbell),8,181.8813663,8
10/19/2020 6:39,Chest Fly,1,141.0958478,12
10/19/2020 6:39,Chest Fly,2,141.0958478,12
10/19/2020 6:39,Chest Fly,3,141.0958478,11
10/19/2020 6:39,Overhead Press (Barbell),1,121.2542442,6
10/19/2020 6:39,Overhead Press (Barbell),2,121.2542442,6
10/19/2020 6:39,Overhead Press (Barbell),3,121.2542442,5
10/19/2020 6:39,Overhead Press (Barbell),4,121.2542442,5
10/19/2020 6:39,Lateral Raise (Dumbbell),1,26.45547146,15
10/19/2020 6:39,Lateral Raise (Dumbbell),2,26.45547146,15
10/19/2020 6:39,Lateral Raise (Dumbbell),3,26.45547146,15
10/19/2020 6:39,Lateral Raise (Dumbbell),4,17.63698097,10
10/19/2020 6:39,Leg Extension (Machine),1,229.2807527,12
10/19/2020 6:39,Leg Extension (Machine),2,229.2807527,12
10/19/2020 6:39,Leg Extension (Machine),3,229.2807527,12
10/19/2020 6:39,Lying Leg Curl (Machine),1,83.77565963,12
10/19/2020 6:39,Lying Leg Curl (Machine),2,83.77565963,12
10/19/2020 6:39,Lying Leg Curl (Machine),3,83.77565963,11
10/19/2020 6:39,Chest Press (Machine),1,209.4391491,10
10/19/2020 6:39,Chest Press (Machine),2,209.4391491,9
10/20/2020 0:29,Chin Up,1,44.09245244,5
10/20/2020 0:29,Chin Up,2,44.09245244,5
10/20/2020 0:29,Chin Up,3,44.09245244,5
10/20/2020 0:29,Chin Up,4,44.09245244,4
10/20/2020 0:29,Bent Over One Arm Row (Dumbbell),1,74.95716914,12
10/20/2020 0:29,Bent Over One Arm Row (Dumbbell),2,74.95716914,12
10/20/2020 0:29,Bent Over One Arm Row (Dumbbell),3,74.95716914,12
10/20/2020 0:29,Seated Row (Cable),1,220.4622622,12
10/20/2020 0:29,Seated Row (Cable),2,220.4622622,12
10/20/2020 0:29,Seated Row (Cable),3,220.4622622,11
10/20/2020 0:29,Lat Pulldown (Machine),1,198.416036,12
10/20/2020 0:29,Lat Pulldown (Machine),2,198.416036,11
10/20/2020 0:29,Lat Pulldown (Machine),3,198.416036,10
10/20/2020 0:29,Reverse Fly (Machine),1,110.2311311,15
10/20/2020 0:29,Bicep Curl (Barbell),1,55.11556555,12
10/20/2020 0:29,Bicep Curl (Barbell),2,55.11556555,9
10/21/2020 3:35,Bench Press (Barbell),1,44.09245244,5
10/21/2020 3:35,Bench Press (Barbell),2,110.2311311,5
10/21/2020 3:35,Bench Press (Barbell),3,176.3698097,3
10/21/2020 3:35,Bench Press (Barbell),4,214.9507056,4
10/21/2020 3:35,Bench Press (Barbell),5,214.9507056,4
10/21/2020 3:35,Bench Press (Barbell),6,214.9507056,4
10/21/2020 3:35,Bench Press (Barbell),7,214.9507056,4
10/21/2020 3:35,Chest Fly,1,141.0958478,12
10/21/2020 3:35,Chest Fly,2,141.0958478,12
10/21/2020 3:35,Chest Fly,3,141.0958478,11
10/21/2020 3:35,Seated Overhead Press (Dumbbell),1,48.50169768,12
10/21/2020 3:35,Seated Overhead Press (Dumbbell),2,48.50169768,12
10/21/2020 3:35,Seated Overhead Press (Dumbbell),3,48.50169768,8
10/21/2020 3:35,Lateral Raise (Dumbbell),1,26.45547146,15
10/21/2020 3:35,Lateral Raise (Dumbbell),2,26.45547146,15
10/21/2020 3:35,Lateral Raise (Dumbbell),3,26.45547146,15
10/21/2020 3:35,Lateral Raise (Dumbbell),4,26.45547146,15
10/21/2020 3:35,Chest Press (Machine),1,209.4391491,10
10/21/2020 3:35,Chest Press (Machine),2,209.4391491,9
10/21/2020 3:35,Triceps Extension (Dumbbell),1,66.13867866,15
10/21/2020 3:35,Triceps Extension (Dumbbell),2,66.13867866,14
10/23/2020 6:09,Sumo Deadlift (Barbell),1,44.09245244,5
10/23/2020 6:09,Sumo Deadlift (Barbell),2,110.2311311,5
10/23/2020 6:09,Sumo Deadlift (Barbell),3,176.3698097,5
10/23/2020 6:09,Sumo Deadlift (Barbell),4,242.5084884,3
10/23/2020 6:09,Sumo Deadlift (Barbell),5,286.6009408,5
10/23/2020 6:09,Sumo Deadlift (Barbell),6,286.6009408,5
10/23/2020 6:09,Sumo Deadlift (Barbell),7,286.6009408,4
10/23/2020 6:09,Chin Up,1,0,10
10/23/2020 6:09,Chin Up,2,0,10
10/23/2020 6:09,Chin Up,3,0,8
10/23/2020 6:09,Seated Row (Cable),1,220.4622622,12
10/23/2020 6:09,Seated Row (Cable),2,220.4622622,12
10/23/2020 6:09,Seated Row (Cable),3,220.4622622,12
10/23/2020 6:09,Leg Extension (Machine),1,229.2807527,12
10/23/2020 6:09,Leg Extension (Machine),2,229.2807527,12
10/23/2020 6:09,Leg Extension (Machine),3,229.2807527,12
10/23/2020 6:09,Lying Leg Curl (Machine),1,83.77565963,12
10/23/2020 6:09,Lying Leg Curl (Machine),2,83.77565963,12
10/23/2020 6:09,Lying Leg Curl (Machine),3,83.77565963,12
10/23/2020 6:09,Reverse Fly (Machine),1,110.2311311,15
10/23/2020 6:09,Reverse Fly (Machine),2,110.2311311,15
10/23/2020 6:09,Bicep Curl (Barbell),1,55.11556555,12
10/23/2020 6:09,Bicep Curl (Barbell),2,55.11556555,9
10/26/2020 6:06,Bench Press (Barbell),1,44.09245244,8
10/26/2020 6:06,Bench Press (Barbell),2,110.2311311,8
10/26/2020 6:06,Bench Press (Barbell),3,154.3235835,5
10/26/2020 6:06,Bench Press (Barbell),4,187.3929229,10
10/26/2020 6:06,Bench Press (Barbell),5,187.3929229,9
10/26/2020 6:06,Bench Press (Barbell),6,187.3929229,8
10/26/2020 6:06,Bench Press (Barbell),7,187.3929229,6
10/26/2020 6:06,Chest Fly,1,141.0958478,12
10/26/2020 6:06,Chest Fly,2,141.0958478,12
10/26/2020 6:06,Chest Fly,3,141.0958478,11
10/26/2020 6:06,Overhead Press (Barbell),1,121.2542442,6
10/26/2020 6:06,Overhead Press (Barbell),2,121.2542442,6
10/26/2020 6:06,Overhead Press (Barbell),3,121.2542442,5
10/26/2020 6:06,Overhead Press (Barbell),4,121.2542442,4
10/26/2020 6:06,Lateral Raise (Dumbbell),1,26.45547146,15
10/26/2020 6:06,Lateral Raise (Dumbbell),2,26.45547146,15
10/26/2020 6:06,Lateral Raise (Dumbbell),3,26.45547146,15
10/26/2020 6:06,Lateral Raise (Dumbbell),4,17.63698097,10
10/26/2020 6:06,Chest Press (Machine),1,209.4391491,10
10/26/2020 6:06,Chest Press (Machine),2,209.4391491,8
10/26/2020 6:06,Triceps Extension,1,70.5479239,15
10/26/2020 6:06,Triceps Extension,2,70.5479239,12
10/28/2020 5:41,Chin Up,1,44.09245244,5
10/28/2020 5:41,Chin Up,2,44.09245244,5
10/28/2020 5:41,Chin Up,3,44.09245244,5
10/28/2020 5:41,Chin Up,4,44.09245244,4
10/28/2020 5:41,Seated Row (Cable),1,220.4622622,12
10/28/2020 5:41,Seated Row (Cable),2,220.4622622,12
10/28/2020 5:41,Seated Row (Cable),3,220.4622622,12
10/28/2020 5:41,Lat Pulldown (Single Arm),1,110.2311311,12
10/28/2020 5:41,Lat Pulldown (Single Arm),2,110.2311311,10
10/28/2020 5:41,Lat Pulldown (Single Arm),3,110.2311311,10
10/28/2020 5:41,Leg Extension (Machine),1,233.6899979,12
10/28/2020 5:41,Leg Extension (Machine),2,233.6899979,12
10/28/2020 5:41,Leg Extension (Machine),3,233.6899979,12
10/28/2020 5:41,Lying Leg Curl (Machine),1,90.3895275,12
10/28/2020 5:41,Lying Leg Curl (Machine),2,90.3895275,12
10/28/2020 5:41,Lying Leg Curl (Machine),3,90.3895275,10
10/28/2020 5:41,Reverse Fly (Machine),1,110.2311311,15
10/28/2020 5:41,Reverse Fly (Machine),2,110.2311311,15
10/28/2020 5:41,Bicep Curl (Dumbbell),1,26.45547146,12
10/28/2020 5:41,Bicep Curl (Dumbbell),2,26.45547146,10
10/29/2020 6:21,Bench Press (Barbell),1,44.09245244,5
10/29/2020 6:21,Bench Press (Barbell),2,110.2311311,5
10/29/2020 6:21,Bench Press (Barbell),3,176.3698097,3
10/29/2020 6:21,Bench Press (Barbell),4,209.4391491,5
10/29/2020 6:21,Bench Press (Barbell),5,209.4391491,5
10/29/2020 6:21,Bench Press (Barbell),6,209.4391491,5
10/29/2020 6:21,Bench Press (Barbell),7,209.4391491,5
10/29/2020 6:21,Chest Fly,1,141.0958478,12
10/29/2020 6:21,Chest Fly,2,141.0958478,12
10/29/2020 6:21,Chest Fly,3,141.0958478,11
10/29/2020 6:21,Seated Overhead Press (Dumbbell),1,48.50169768,12
10/29/2020 6:21,Seated Overhead Press (Dumbbell),2,48.50169768,11
10/29/2020 6:21,Seated Overhead Press (Dumbbell),3,48.50169768,8
10/29/2020 6:21,Lateral Raise (Dumbbell),1,26.45547146,15
10/29/2020 6:21,Lateral Raise (Dumbbell),2,26.45547146,15
10/29/2020 6:21,Lateral Raise (Dumbbell),3,26.45547146,15
